0,64,84,4,8,3,3,1
0,68,84,4,8,3,3,1
0,64,92,8,4,3,2,1
0,72,80,4,4,3,3,1
0,72,84,4,8,3,3,1
0,72,92,4,4,3,3,1
0,76,80,4,4,3,3,1
0,76,84,4,8,3,3,1
0,76,92,4,4,3,3,1
0,80,80,8,8,4,0,1
0,88,80,4,8,4,1,1
0,92,80,4,8,4,1,1
0,80,88,8,8,4,0,1
0,88,88,8,8,4,0,1
0,96,64,4,4,3,2,1
0,100,64,8,4,3,2,1
0,108,64,4,4,3,2,1
0,96,68,8,8,3,2,1
0,104,68,8,8,3,2,1
0,96,76,8,4,3,2,1
0,104,76,8,4,3,2,1
0,112,64,4,8,3,3,1
0,116,64,4,8,3,3,1
0,120,64,8,8,3,2,1
0,112,72,4,4,3,3,1
0,116,72,8,4,3,3,1
0,124,72,4,4,3,3,1
0,112,76,8,4,3,3,1
0,120,76,8,4,3,3,1
0,96,80,8,8,4,0,1
0,104,80,8,8,4,0,1
0,96,88,8,8,4,0,1
0,104,88,8,8,4,0,1
0,112,80,8,4,4,1,1
0,112,84,8,4,4,1,1
0,120,80,4,4,4,2,1
0,124,80,4,4,4,2,1
0,120,84,4,4,4,2,1
0,124,84,4,4,4,2,1
0,112,88,4,4,4,2,1
0,112,92,4,4,4,2,1
0,116,88,4,4,4,2,1
0,116,92,4,4,4,2,1
0,120,88,4,4,4,2,1
0,124,88,4,4,4,2,1
0,120,92,4,4,4,2,1
0,124,92,4,4,4,2,1
0,64,96,4,4,3,3,1
0,64,100,4,4,3,3,1
0,64,104,4,4,3,3,1
0,64,108,4,4,3,3,1
0,68,96,8,4,3,3,1
0,68,100,8,4,3,3,1
0,68,104,8,4,3,3,1
0,68,108,8,4,3,3,1
0,76,96,4,4,3,2,1
0,76,100,4,8,3,2,1
0,76,108,4,4,3,2,1
0,80,96,16,8,3,1,1
0,80,104,4,4,3,3,1
0,84,104,8,4,3,3,1
0,92,104,4,4,3,3,1
0,80,108,8,4,3,3,1
0,88,108,8,4,3,3,1
0,64,112,16,4,3,2,1
0,64,116,8,4,3,3,1
0,72,116,8,4,3,3,1
0,64,120,8,4,3,3,1
0,72,120,8,4,3,3,1
0,64,124,4,4,3,3,1
0,68,124,8,4,3,3,1
0,76,124,4,4,3,3,1
0,80,112,4,4,3,3,1
0,84,112,4,4,3,3,1
0,88,112,4,4,3,3,1
0,92,112,4,4,3,3,1
0,80,116,4,8,3,3,1
0,84,116,4,8,3,3,1
0,88,116,8,8,3,2,1
0,80,124,16,4,3,1,1
0,96,96,8,4,3,2,1
0,96,100,8,8,3,2,1
0,96,108,8,4,3,2,1
0,104,96,4,8,3,3,1
0,104,104,4,8,3,3,1
0,108,96,4,4,3,3,1
0,108,100,4,8,3,3,1
0,108,108,4,4,3,3,1
0,112,96,4,4,3,2,1
0,112,100,4,8,3,2,1
0,112,108,4,4,3,2,1
0,116,96,8,4,3,3,1
0,116,100,8,4,3,3,1
0,116,104,8,4,3,3,1
0,116,108,8,4,3,3,1
0,124,96,4,16,3,1,1
0,96,112,4,4,3,3,1
0,96,116,4,8,3,3,1
0,96,124,4,4,3,3,1
0,100,112,4,8,3,3,1
0,100,120,4,8,3,3,1
0,104,112,8,16,3,1,1
0,112,112,16,16,3,0,1
0,0,0,0,0,2,2,1
0,0,0,0,0,2,3,1
0,0,0,0,0,2,3,1
0,0,0,0,0,2,3,1
0,0,0,0,0,2,1,1
0,0,0,0,0,2,0,1
0,0,0,0,0,2,2,1
0,0,0,0,0,2,2,1
0,0,0,0,0,2,2,1
0,0,0,0,0,2,1,1
0,0,0,0,0,2,0,1
0,0,0,0,0,1,2,1
0,0,0,0,0,1,3,1
0,0,0,0,0,1,3,1
0,0,0,0,0,1,3,1
0,0,0,0,0,1,3,1
0,0,0,0,0,1,3,1
0,0,0,0,0,1,3,1
0,0,0,0,0,2,0,1
0,0,0,0,0,2,0,1
0,0,0,0,0,2,2,1
0,0,0,0,0,2,2,1
0,0,0,0,0,2,1,1
0,0,0,0,0,2,1,1
0,0,0,0,0,2,1,1
0,0,0,0,0,2,2,1
0,0,0,0,0,2,2,1
0,0,0,0,0,2,2,1
0,0,0,0,0,3,0,1
0,0,0,0,0,3,1,1
0,0,0,0,0,3,2,1
0,0,0,0,0,3,2,1
0,0,0,0,0,3,2,1
0,0,0,0,0,3,2,1
0,0,0,0,0,3,1,1
0,0,0,0,0,3,0,1
0,0,0,0,0,2,2,1
0,0,0,0,0,2,2,1
0,0,0,0,0,2,2,1
0,0,0,0,0,2,2,1
0,0,0,0,0,2,2,1
0,0,0,0,0,2,2,1
0,0,0,0,0,2,2,1
0,0,0,0,0,2,2,1
0,0,0,0,0,2,3,1
0,0,0,0,0,2,3,1
0,0,0,0,0,2,3,1
0,0,0,0,0,2,3,1
0,0,0,0,0,2,1,1
0,0,0,0,0,2,1,1
0,0,0,0,0,2,3,1
0,0,0,0,0,2,3,1
0,0,0,0,0,2,2,1
0,0,0,0,0,2,2,1
0,0,0,0,0,2,1,1
